"Name","Total Time","Total Time (CPU)","Hits"
"Periodic tasks thread","51,299 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"  com.intellij.util.concurrency.AppDelayQueue$$Lambda$26.0x00000001000b4040.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"   com.intellij.util.concurrency.AppDelayQueue.lambda$new$0 ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.DelayQueue.take ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"AWT-EventQueue-0","51,299 ms (-0%)","0.0 ms (0%)","1"
" java.awt.EventDispatchThread.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"  java.awt.EventDispatchThread.pumpEvents ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"   java.awt.EventDispatchThread.pumpEvents ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"    java.awt.EventDispatchThread.pumpEventsForHierarchy ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"     java.awt.EventDispatchThread.pumpEventsForFilter ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"      java.awt.EventDispatchThread.pumpOneEventForFilters ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"       com.intellij.ide.IdeEventQueue.getNextEvent ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"        com.intellij.openapi.application.impl.ApplicationImpl.runUnlockingIntendedWrite ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"         com.intellij.ide.IdeEventQueue$$Lambda$493.0x0000000100607c40.compute ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"          com.intellij.ide.IdeEventQueue.lambda$getNextEvent$16 ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"           java.awt.EventQueue.getNextEvent ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Netty Builtin Server 1","51,299 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"  io.netty.util.concurrent.FastThreadLocalRunnable.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"   io.netty.util.internal.ThreadExecutorMap$2.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"    io.netty.util.concurrent.SingleThreadEventExecutor$4.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"     io.netty.channel.nio.NioEventLoop.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"      io.netty.channel.nio.NioEventLoop.select ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"       io.netty.channel.nio.SelectedSelectionKeySetSelector.select ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"        sun.nio.ch.SelectorImpl.select ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
