"Name","Live Bytes","Live Objects"
"byte[]","57,315,728 B (24.3%)","484,192 (10.3%)"
"java.lang.Object[]","29,863,856 B (12.6%)","732,565 (15.6%)"
"int[]","20,526,488 B (8.7%)","47,919 (1%)"
"java.util.TreeMap$Entry","15,762,560 B (6.7%)","394,064 (8.4%)"
"java.lang.String","10,181,208 B (4.3%)","424,217 (9.1%)"
"java.io.ObjectStreamClass$WeakClassKey","6,961,248 B (2.9%)","217,539 (4.6%)"
"char[]","6,653,672 B (2.8%)","23,631 (0.5%)"
"java.lang.Class","5,800,992 B (2.5%)","49,353 (1.1%)"
"java.util.HashMap$Node","3,150,624 B (1.3%)","98,457 (2.1%)"
"java.util.concurrent.ConcurrentHashMap$Node","3,003,104 B (1.3%)","93,847 (2%)"
"java.util.TreeMap$KeyIterator","2,844,192 B (1.2%)","88,881 (1.9%)"
"java.util.HashMap$Node[]","2,093,752 B (0.9%)","16,961 (0.4%)"
"java.util.TreeMap","2,032,848 B (0.9%)","42,351 (0.9%)"
"java.security.AccessControlContext","1,764,000 B (0.7%)","44,100 (0.9%)"
"com.jediterm.terminal.TextStyle[]","1,594,416 B (0.7%)","1,689 (0%)"
"java.lang.StackTraceElement","1,397,328 B (0.6%)","29,111 (0.6%)"
"boolean[]","1,350,328 B (0.6%)","1,696 (0%)"
"java.io.SerialCallbackContext","1,097,448 B (0.5%)","45,727 (1%)"
"javax.management.openmbean.CompositeDataSupport","1,009,440 B (0.4%)","42,060 (0.9%)"
"java.util.ArrayList","901,800 B (0.4%)","37,575 (0.8%)"
"java.util.LinkedHashMap$Entry","880,560 B (0.4%)","22,014 (0.5%)"
"java.lang.management.ThreadInfo","865,904 B (0.4%)","8,326 (0.2%)"
"org.jdom.Attribute","858,960 B (0.4%)","21,474 (0.5%)"
"java.net.URL","844,800 B (0.4%)","13,200 (0.3%)"
"com.intellij.util.containers.LockFreeCopyOnWriteArrayList$COWIterator","842,784 B (0.4%)","26,337 (0.6%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","840,480 B (0.4%)","26,265 (0.6%)"
"java.util.HashMap","821,520 B (0.3%)","17,115 (0.4%)"
"com.intellij.util.containers.hash.LinkedHashMap$Entry","759,080 B (0.3%)","18,977 (0.4%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","751,456 B (0.3%)","1,477 (0%)"
"java.util.Hashtable$Entry","730,592 B (0.3%)","22,831 (0.5%)"
"java.lang.reflect.Method","714,384 B (0.3%)","8,118 (0.2%)"
"java.util.concurrent.ForkJoinTask[]","688,464 B (0.3%)","21 (0%)"
"java.util.TreeMap$KeySet","674,080 B (0.3%)","42,130 (0.9%)"
"java.util.TreeMap$EntrySet","673,248 B (0.3%)","42,078 (0.9%)"
"com.intellij.util.SmartList","644,352 B (0.3%)","26,848 (0.6%)"
"java.io.ObjectStreamClass","623,584 B (0.3%)","5,996 (0.1%)"
"a.a.la","609,800 B (0.3%)","15,245 (0.3%)"
"javax.management.openmbean.CompositeData[]","580,672 B (0.2%)","25,344 (0.5%)"
"java.lang.Object","574,416 B (0.2%)","35,901 (0.8%)"
"java.lang.invoke.MemberName","571,680 B (0.2%)","11,910 (0.3%)"
"com.intellij.util.concurrency.SchedulingWrapper$MyScheduledFutureTask","564,160 B (0.2%)","8,815 (0.2%)"
"java.awt.event.InvocationEvent","561,984 B (0.2%)","8,781 (0.2%)"
"java.security.ProtectionDomain","554,680 B (0.2%)","13,867 (0.3%)"
"long[]","551,984 B (0.2%)","2,354 (0.1%)"
"java.lang.StackTraceElement[]","548,960 B (0.2%)","16,658 (0.4%)"
"java.lang.ref.SoftReference","546,080 B (0.2%)","13,652 (0.3%)"
"java.security.CodeSource","542,840 B (0.2%)","13,571 (0.3%)"
"com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey","542,320 B (0.2%)","13,558 (0.3%)"
"java.lang.ref.WeakReference","516,704 B (0.2%)","16,147 (0.3%)"
"java.lang.Class[]","503,480 B (0.2%)","18,899 (0.4%)"
"java.lang.String[]","498,704 B (0.2%)","15,046 (0.3%)"
"java.lang.StringBuilder","474,288 B (0.2%)","19,762 (0.4%)"
"org.jdom.Element","455,280 B (0.2%)","11,382 (0.2%)"
"org.jdom.ContentList","455,280 B (0.2%)","11,382 (0.2%)"
"java.lang.Long","446,280 B (0.2%)","18,595 (0.4%)"
"com.intellij.util.containers.ConcurrentWeakKeyWeakValueHashMap$WeakValue","433,472 B (0.2%)","13,546 (0.3%)"
"com.intellij.openapi.actionSystem.Presentation","424,032 B (0.2%)","7,572 (0.2%)"
"com.intellij.diagnostic.PerformanceWatcher$FreezeCheckerTask","421,392 B (0.2%)","8,779 (0.2%)"
"java.lang.invoke.MethodType","416,240 B (0.2%)","10,406 (0.2%)"
"java.lang.Integer","414,704 B (0.2%)","25,919 (0.6%)"
"java.awt.event.ActionEvent","392,736 B (0.2%)","8,182 (0.2%)"
"com.intellij.util.containers.IntObjectLinkedMap$MapEntry[]","388,624 B (0.2%)","33 (0%)"
"com.google.gson.internal.LinkedTreeMap$Node","374,832 B (0.2%)","7,809 (0.2%)"
"java.util.Hashtable$Entry[]","351,624 B (0.1%)","2,818 (0.1%)"
"com.intellij.openapi.progress.impl.CoreProgressManager$CheckCanceledHook[]","351,160 B (0.1%)","17,558 (0.4%)"
"com.intellij.reference.SoftReference","343,960 B (0.1%)","8,599 (0.2%)"
"org.jdom.Attribute[]","340,480 B (0.1%)","9,949 (0.2%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","336,192 B (0.1%)","10,506 (0.2%)"
"org.jdom.AttributeList","326,304 B (0.1%)","10,197 (0.2%)"
"com.intellij.codeInspection.ex.ScopeToolState","325,120 B (0.1%)","8,128 (0.2%)"
"org.jetbrains.plugins.textmate.language.syntax.SyntaxNodeDescriptorImpl","312,280 B (0.1%)","7,807 (0.2%)"
"sun.nio.fs.WindowsPath","300,280 B (0.1%)","7,507 (0.2%)"
"java.util.EnumMap","296,960 B (0.1%)","7,424 (0.2%)"
"com.intellij.util.containers.hash.LinkedHashMap$Entry[]","287,824 B (0.1%)","1,224 (0%)"
"java.util.LinkedHashMap","278,824 B (0.1%)","4,979 (0.1%)"
"java.lang.invoke.ResolvedMethodName","270,048 B (0.1%)","11,252 (0.2%)"
"com.jediterm.terminal.model.CharBuffer","261,888 B (0.1%)","10,912 (0.2%)"
"gnu.trove.TIntObjectHashMap","261,600 B (0.1%)","5,450 (0.1%)"
"com.intellij.codeInspection.ex.ToolsImpl","260,096 B (0.1%)","8,128 (0.2%)"
"java.lang.reflect.Field","257,904 B (0.1%)","3,582 (0.1%)"
"java.lang.invoke.DirectMethodHandle","253,920 B (0.1%)","7,935 (0.2%)"
"java.util.ArrayList$Itr","253,696 B (0.1%)","7,928 (0.2%)"
"java.util.concurrent.ConcurrentHashMap","247,040 B (0.1%)","3,860 (0.1%)"
"java.security.ProtectionDomain[]","240,952 B (0.1%)","10,019 (0.2%)"
"java.lang.Thread[]","237,144 B (0.1%)","8,972 (0.2%)"
"com.jediterm.terminal.model.TerminalLine$TextEntry","236,904 B (0.1%)","9,871 (0.2%)"
"com.intellij.util.containers.IntObjectLinkedMap$MapEntry","229,408 B (0.1%)","7,169 (0.2%)"
"com.intellij.psi.impl.PsiCachedValueImpl","228,640 B (0.1%)","7,145 (0.2%)"
"java.security.Principal[]","221,872 B (0.1%)","13,867 (0.3%)"
"java.security.ProtectionDomain$Key","221,872 B (0.1%)","13,867 (0.3%)"
"java.util.concurrent.Executors$RunnableAdapter","212,424 B (0.1%)","8,851 (0.2%)"
"com.intellij.openapi.actionSystem.impl.ActionToolbarImpl$4","210,800 B (0.1%)","527 (0%)"
"sun.awt.EventQueueItem","210,720 B (0.1%)","8,780 (0.2%)"
"com.intellij.openapi.application.TransactionGuardImpl$1","210,696 B (0.1%)","8,779 (0.2%)"
"java.awt.EventQueue$4","210,696 B (0.1%)","8,779 (0.2%)"
"com.intellij.psi.impl.source.tree.CompositeElement","204,064 B (0.1%)","3,644 (0.1%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","203,880 B (0.1%)","8,495 (0.2%)"
"com.intellij.codeInspection.ex.LocalInspectionToolWrapper","192,960 B (0.1%)","8,040 (0.2%)"
"short[]","190,256 B (0.1%)","723 (0%)"
"sun.font.TrueTypeFont$DirectoryEntry","184,560 B (0.1%)","7,690 (0.2%)"
"java.util.RegularEnumSet","183,776 B (0.1%)","5,743 (0.1%)"
"com.intellij.util.containers.WeakHashMap$WeakKey","182,440 B (0.1%)","4,561 (0.1%)"
"com.intellij.ui.components.JBScrollPane$Corner","180,224 B (0.1%)","512 (0%)"
"com.intellij.psi.impl.source.tree.LeafPsiElement","180,080 B (0.1%)","4,502 (0.1%)"
"javax.swing.JPanel","178,464 B (0.1%)","507 (0%)"
"java.util.concurrent.atomic.AtomicReference","173,824 B (0.1%)","10,864 (0.2%)"
"java.lang.reflect.Constructor","169,280 B (0.1%)","2,116 (0%)"
"com.intellij.psi.util.CachedValuesManager$1","168,432 B (0.1%)","7,018 (0.1%)"
"org.jdom.ImmutableElement","162,864 B (0.1%)","3,393 (0.1%)"
"com.intellij.ui.JBColor","162,400 B (0.1%)","4,060 (0.1%)"
"org.jetbrains.plugins.textmate.language.syntax.SyntaxRuleProxyDescriptor","156,624 B (0.1%)","6,526 (0.1%)"
"java.util.regex.Matcher","144,360 B (0.1%)","2,005 (0%)"
"com.intellij.ide.IdeEventQueue$$Lambda$502.0x000000010061c040","140,464 B (0.1%)","8,779 (0.2%)"
"com.intellij.diagnostic.PerformanceWatcher$FreezeCheckerTask$$Lambda$499.0x000000010061f440","140,464 B (0.1%)","8,779 (0.2%)"
"java.util.Collections$SingletonMap","136,400 B (0.1%)","3,410 (0.1%)"
"com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl$$Lambda$710.0x0000000100970440","136,096 B (0.1%)","4,253 (0.1%)"
"com.intellij.openapi.extensions.impl.XmlExtensionAdapter","135,600 B (0.1%)","3,390 (0.1%)"
"java.util.Hashtable","135,120 B (0.1%)","2,815 (0.1%)"
"java.lang.management.MonitorInfo[]","133,232 B (0.1%)","8,327 (0.2%)"
"java.lang.management.LockInfo[]","133,232 B (0.1%)","8,327 (0.2%)"
"javax.swing.Timer$1","130,912 B (0.1%)","8,182 (0.2%)"
"java.lang.invoke.LambdaForm$Name","126,656 B (0.1%)","3,958 (0.1%)"
"java.lang.Integer[]","123,608 B (0.1%)","5,052 (0.1%)"
"com.google.gson.internal.LinkedTreeMap","120,816 B (0.1%)","2,517 (0.1%)"
"com.intellij.execution.filters.Filter[]","120,456 B (0.1%)","5,019 (0.1%)"
"java.awt.Rectangle","120,160 B (0.1%)","3,755 (0.1%)"
"java.io.ObjectStreamClass$FieldReflectorKey","119,960 B (0.1%)","2,999 (0.1%)"
"gnu.trove.THashMap","119,952 B (0.1%)","2,499 (0.1%)"
"java.io.DataOutputStream","119,520 B (0.1%)","2,988 (0.1%)"
"com.intellij.util.containers.ConcurrentIntObjectHashMap$Node","119,072 B (0.1%)","3,721 (0.1%)"
"com.intellij.openapi.util.Pair","117,144 B (0%)","4,881 (0.1%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","111,744 B (0%)","1,764 (0%)"
"java.lang.ref.SoftReference[]","111,280 B (0%)","1,637 (0%)"
"javax.swing.event.EventListenerList","110,352 B (0%)","6,897 (0.1%)"
"java.lang.management.LockInfo","109,080 B (0%)","4,545 (0.1%)"
"javax.management.ObjectName$Property[]","108,848 B (0%)","3,157 (0.1%)"
"java.util.stream.ReferencePipeline$2","107,072 B (0%)","1,673 (0%)"
"com.intellij.util.containers.LockFreeCopyOnWriteArrayList","106,384 B (0%)","6,649 (0.1%)"
"java.util.concurrent.atomic.AtomicBoolean","105,664 B (0%)","6,604 (0.1%)"
"com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter","103,440 B (0%)","2,586 (0.1%)"
"java.lang.Package","98,624 B (0%)","3,082 (0.1%)"
"java.io.ObjectOutputStream$HandleTable","98,080 B (0%)","2,452 (0.1%)"
"sun.rmi.transport.ConnectionInputStream","98,000 B (0%)","1,225 (0%)"
"org.jdom.Content[]","96,176 B (0%)","2,683 (0.1%)"
"java.util.stream.ReferencePipeline$Head","93,688 B (0%)","1,673 (0%)"
"com.intellij.openapi.actionSystem.impl.ActionToolbarImpl","92,840 B (0%)","211 (0%)"
"java.util.WeakHashMap$Entry","92,640 B (0%)","2,316 (0%)"
